id,date,description,montant_cdf,taux
1,01/05/2024,Produit 1,34036,2750
2,17/04/2024,Produit 2,19883,2750
3,05/05/2024,Produit 3,4215,2750
4,04/08/2024,Produit 4,15125,2750
5,07/10/2024,Produit 5,18233,2750
6,22/08/2024,Produit 6,6253,2750
7,22/03/2024,Produit 7,36233,2750
8,15/07/2024,Produit 8,25220,2750
9,19/06/2024,Produit 9,26325,2750
10,10/07/2024,Produit 10,16323,2750
11,27/09/2024,Produit 11,8335,2750
12,14/09/2024,Produit 12,49895,2750
13,19/09/2024,Produit 13,17758,2750
14,24/04/2024,Produit 14,41434,2750
15,04/03/2024,Produit 15,33737,2750
16,20/05/2024,Produit 16,28498,2750
17,25/10/2024,Produit 17,12222,2750
18,12/08/2024,Produit 18,26573,2750
19,08/05/2024,Produit 19,4395,2750
20,20/06/2024,Produit 20,7203,2750
